"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type","stripped_text"
"2725","ItalianTonyQ","747967353682550784",2017-09-17 23:36:17,"909561676311052289","Hi, I'm Chico. I'm a Chihuahua and a Dreamer. I dream about steak, my John Deere tractor, and my Human, and pizza!!! https://t.co/wNdceicG5v",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone","909561673769394177","http://pbs.twimg.com/media/DJ9phfJVoAE8_77.jpg","https://twitter.com/ItalianTonyQ/status/909561676311052289/photo/1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hi, I'm Chico. I'm a Chihuahua and a Dreamer. I dream about steak, my John Deere tractor, and my Human, and pizza!!! "
"2726","Paulvdb2016","751686504",2017-09-17 23:36:04,"909561621277806592","If it is salesman talk why can't Deere salesman keep his customer going efficiently and still be productive. Is it… https://t.co/BNdNwG2ru1",0,1,TRUE,"909211516120965120",FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/909561621277806592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If it is salesman talk why can't Deere salesman keep his customer going efficiently and still be productive. Is it… "
"2727","WorldOfModscom","819757752",2017-09-17 23:30:17,"909560167880101889","John Deere 3050 <U+0434><U+043B><U+044F> Farming Simulator 2017 https://t.co/bIAib3W4dE https://t.co/QYPf55Epix",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"cs","WorldOfMods.com","909560164709228546","http://pbs.twimg.com/media/DJ9oJpdW4AIBH_p.jpg","https://twitter.com/WorldOfModscom/status/909560167880101889/photo/1",NA,"worldofmods.ru/farming-simula…","https://www.worldofmods.ru/farming-simulator-2017/tractors/32955-john-deere-3050.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere 3050 <U+0434><U+043B><U+044F> Farming Simulator 2017 "
"2728","WorldOfModscom","819757752",2017-09-17 23:30:11,"909560144656322562","John Deere 7430 v2.1 <U+0434><U+043B><U+044F> Farming Simulator 2017 https://t.co/TDYaiYbJ3X https://t.co/x1i4aBnUBI",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"und","WorldOfMods.com","909560142320029698","http://pbs.twimg.com/media/DJ9oIWDW0AIUZ3j.jpg","https://twitter.com/WorldOfModscom/status/909560144656322562/photo/1",NA,"worldofmods.ru/farming-simula…","https://www.worldofmods.ru/farming-simulator-2017/tractors/32952-john-deere-7430-v21.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere 7430 v2.1 <U+0434><U+043B><U+044F> Farming Simulator 2017 "
"2729","Puas_Deere","179148955",2017-09-17 23:29:31,"909559974082248704","Tengo 7 hummers una arriba de la otra...",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tengo 7 hummers una arriba de la otra..."
"2730","MANUELFILIPE67","436361459",2017-09-17 23:19:20,"909557412222382080","Gostei de um vídeo do @YouTube https://t.co/q2phR2dI0d Wakacje 2016 - Claas Tucano 430 John Deere 6930P JD6330P JD 5720 *Podkarpacie*",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"pt","Google",NA,NA,NA,NA,"youtu.be/9X7uAPNIn8M?a","http://youtu.be/9X7uAPNIn8M?a","YouTube","10228272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gostei de um vídeo do @YouTube "
"2731","bquimper","154962005",2017-09-17 23:18:18,"909557150858522626","John Deere’s new AI lab is designing farm equipment for a more sustainable future
https://t.co/JOnqu8DGgs",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"fastcompany.com/40464024/how-j…","https://www.fastcompany.com/40464024/how-john-deeres-new-ai-lab-is-designing-farm-equipment-for-more-sustainable-future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere’s new AI lab is designing farm equipment for a more sustainable future
"
"2732","CarloCuman","292038102",2017-09-17 23:16:35,"909556719583322112","How John Deere’s New AI Lab Is Designing Farm Equipment For A More Sustainable Future https://t.co/mA7FM91CiT",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","LinkedIn",NA,NA,NA,NA,"lnkd.in/gje8WJ6","https://lnkd.in/gje8WJ6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"How John Deere’s New AI Lab Is Designing Farm Equipment For A More Sustainable Future "
"2733","nbfootball32","477215632",2017-09-17 23:15:30,"909556449101193222","What in the John Deere, bull wrasslin, chewin tobaccer, cousin touchin, *spitoon noise* is this https://t.co/9OVSo9OLuQ",1,1,TRUE,"909538074492796928",FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/jcrewandmeth/s…","https://twitter.com/jcrewandmeth/status/909538074492796928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"What in the John Deere, bull wrasslin, chewin tobaccer, cousin touchin, *spitoon noise* is this "
"2734","GreenAntToys","620512468",2017-09-17 23:08:09,"909554598272102400","Check out Siku John Deere Tractor 7530 Mini Die Cast Vehicle Toy Models SI1009 FREE Post #SIKU https://t.co/fBr5cYe41E via @eBay",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"cgi.ebay.com.au/ws/eBayISAPI.d…","http://cgi.ebay.com.au/ws/eBayISAPI.dll?ViewItem&item=182772503422&roken=cUgayN&soutkn=7Ass5o","eBay","19709040",NA,"SIKU",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Check out Siku John Deere Tractor 7530 Mini Die Cast Vehicle Toy Models SI1009 FREE Post #SIKU "
"2735","TroxelEquipment","2507894377",2017-09-17 23:05:17,"909553874532540416","Troxel Equipment https://t.co/jfvKVcZcLZ",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Facebook",NA,NA,NA,NA,"fb.me/8eLlSdvy7","http://fb.me/8eLlSdvy7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Troxel Equipment "
"2736","workinthedirt","1213826820",2017-09-17 23:03:54,"909553526996656129","iPhone are like the John Deere of the phone industry... #innovation NOT #immitation https://t.co/9vk19Ajvce",0,2,TRUE,"909424738614648833",FALSE,NA,NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,"twitter.com/mattcham37/sta…","https://twitter.com/mattcham37/status/909424738614648833",NA,NA,NA,"innovation immitation",NA,NA,NA,NA,NA,NA,NA,NA,NA,"iPhone are like the John Deere of the phone industry... #innovation NOT #immitation "
"2737","BuyerInfo","54171115",2017-09-17 22:59:56,"909552529758932992","Britains 15525 - John Deere 7920 Tractor https://t.co/RGXWEXYb0N #farmanimals #figuresandplaysets",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Tweet Old Post",NA,NA,NA,NA,"buymygifts.co.uk/britains-15525…","http://buymygifts.co.uk/britains-15525-john-deere-7920-tractor/",NA,NA,NA,"farmanimals figuresandplaysets",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Britains 15525 - John Deere 7920 Tractor "
"2738","Rickagain","339246375",2017-09-17 22:50:26,"909550138342936578","@LoraHelou You're infected with John Deere Syndrome.",0,1,FALSE,NA,FALSE,NA,"909543898208497664","16725875","LoraHelou","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"LoraHelou","16725875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"@LoraHelou You're infected with John Deere Syndrome."
"2739","Jobs_Sarasota","3873272597",2017-09-17 22:42:02,"909548024279339009","https://t.co/efncFpecAq",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"und","WordPress.com",NA,NA,NA,NA,"sarasotajobs.org/2017/09/17/cla…","http://sarasotajobs.org/2017/09/17/class-a-cdl-otr-driver-davenport-ia-john-deere-0-51mile/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
